               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  85,              2.3408,              1.4446,              1.5782,             0.86979,             0.83977,             0.89779,             0.43876,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  86,              2.3531,              1.4636,              1.5812,             0.87419,             0.82722,             0.89145,             0.43255,                   0,                   0,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,              2.3443,               1.452,               1.568,              0.8814,             0.83205,             0.89687,              0.4382,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  88,              2.3441,              1.4473,              1.5735,             0.88545,             0.83702,             0.90129,             0.44593,                   0,                   0,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,              2.3306,              1.4417,              1.5777,             0.88012,             0.84648,             0.90191,             0.43435,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  90,              2.3562,              1.4705,              1.5898,             0.86987,             0.83996,             0.89425,             0.43479,                   0,                   0,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,              2.3458,              1.4621,              1.5787,             0.87415,             0.83252,             0.89496,             0.44178,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  92,              2.3382,              1.4676,              1.5866,             0.87388,             0.83968,             0.89985,             0.44484,                   0,                   0,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,              2.3441,              1.4544,              1.5752,             0.88125,             0.83616,             0.90089,             0.44731,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  94,              2.3505,              1.4641,              1.5744,             0.87826,             0.83656,             0.90042,             0.44941,                   0,                   0,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,              2.3432,              1.4605,              1.5718,              0.8841,             0.84535,             0.90552,             0.45454,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  96,              2.3488,              1.4507,                1.58,             0.87962,             0.84953,             0.90714,              0.4584,                   0,                   0,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,              2.3277,               1.437,              1.5694,             0.88252,              0.8388,             0.90194,             0.44517,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  98,              2.3185,              1.4396,              1.5676,             0.88116,             0.84125,             0.90247,             0.44856,                   0,                   0,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,               2.325,               1.441,              1.5635,             0.88325,             0.84538,              0.9078,             0.46377,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                 100,              2.3374,              1.4396,              1.5573,             0.88751,             0.84301,             0.90659,             0.45817,                   0,                   0,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,              2.3193,              1.4374,               1.567,             0.88591,              0.8385,             0.90449,             0.44598,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                 102,               2.308,              1.4278,              1.5583,              0.8812,             0.83831,             0.90382,             0.45574,                   0,                   0,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,              2.3252,              1.4369,              1.5624,             0.87727,             0.84086,             0.90564,             0.46293,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                 104,              2.3256,              1.4408,              1.5583,             0.88701,             0.83866,             0.90737,             0.46742,                   0,                   0,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,               2.318,              1.4313,              1.5589,             0.88992,             0.84582,             0.91288,             0.47302,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
